電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
捍衛天使,Good Fortune,喜劇,美加,2025,阿茲安薩里,"基努李維, 塞斯羅根, 阿茲安薩里, 吳珊卓, 史蒂芬麥金利亨德森, 琪琪帕瑪",https://hamivideo.hinet.net/product/315153.do?cs=2,4.1,97分鐘,tt27543578,79%,80%,6.2,6.5,61/100,
天劫倒數,Greenland,動作,美加,2020,雷克羅曼沃,"傑哈巴特勒, 莫蓮娜芭卡琳, 史考特葛倫",https://hamivideo.hinet.net/product/140051.do?cs=2,4.1,119分鐘,tt7737786,48%,66%,5.4,6.4,64/100,
名偵探柯南(2003)-迷宮的十字路 (國語),Detective Conan: Crossroad in the Ancient Capital,動畫,日本,2003,兒玉兼嗣,"蔣篤慧, 魏晶琦, 官志宏, 劉傑, 陶敏嫻, 徐健春",https://hamivideo.hinet.net/product/30413.do?cs=2,4.6,107分鐘,tt1133935,15%,40%,8.5,7.1,NoRating,
我的完美日常,Perfect Days,劇情,日本,2024,文溫德斯,"役所廣司, 柄本時生, 山田葵, 中野有紗",https://hamivideo.hinet.net/product/265453.do?cs=2,4.7,124分鐘,tt27503384,96%,93%,8.5,7.9,80/100,
電影版 神奇柑仔店 錢天堂,The Supernatural Sweet Shop The Movie,劇情,日本,2025,中田秀夫,"天海祐希, 上白石萌音, 大橋和也, 伊原六花, 渡邊圭祐",https://hamivideo.hinet.net/product/310123.do?cs=2,4.2,103分鐘,tt33256912,NoRating,NoRating,5.9,6.6,NoRating,
神鬼劫案：瞞天過海,Cash Out 2: High Rollers,動作,美加,2025,蘭道爾艾米特,"約翰屈伏塔, 吉娜葛森, 盧卡斯哈斯, 史文提米爾",https://hamivideo.hinet.net/product/293131.do?cs=2,3.3,100分鐘,tt27829510,20%,74%,4.7,3.9,NoRating,
首爾單身日記,Single in Seoul,愛情,韓國,2024,朴範修,"李棟旭, 林秀晶, 李絮, 李相二",https://hamivideo.hinet.net/product/278834.do?cs=2,4.0,103分鐘,tt29466094,NoRating,NoRating,6.1,6.1,NoRating,
天氣之子,Weathering with You,動畫,日本,2019,新海誠,"醍醐虎汰朗, 森七菜, 小栗旬, 本田翼, 倍賞千惠子",https://hamivideo.hinet.net/product/135275.do?cs=2,4.7,112分鐘,tt9426210,92%,95%,7.0,7.5,72/100,
電影版孤獨的美食家,The Solitary Gourmet,劇情,日本,2025,松重豐,"松重豐, 内田有紀, 磯村勇斗, 村田雄浩, 劉宰明, 鹽見三省, 杏, 小田切讓, 遠藤憲一",https://hamivideo.hinet.net/product/303680.do?cs=2,4.4,109分鐘,tt34573447,NoRating,NoRating,7.9,7.0,NoRating,
臨時劫案,Rob N Roll,喜劇,香港,2024,麥啟光,"郭富城, 林家棟, 任賢齊, 張可頤, 林雪, 盧海鵬, 梁仲恆, 鮑起靜, 胡定欣",https://hamivideo.hinet.net/product/269280.do?cs=2,3.7,97分鐘,tt30958950,NoRating,50%,6.2,6.1,NoRating,
名偵探柯南：紺青之拳(日語),DETECTIVE CONAN The Fist of Blue Sapphire,動畫,日本,2019,永岡智佳,"高山南, 小山力也, 山口勝平",https://hamivideo.hinet.net/product/94960.do?cs=2,4.6,109分鐘,tt9501310,NoRating,NoRating,5.7,6.3,NoRating,
聽說.,Hear Me: Our Summer,愛情,韓國,2024,趙宣浩,"紅炅（洪慶）, 盧允瑞, 金珉周",https://hamivideo.hinet.net/product/285501.do?cs=2,4.6,109分鐘,tt35499146,NoRating,NoRating,5.9,5.8,NoRating,
情慾誘惑,Scarlet Innocence,劇情,韓國,2015,林弼成,"鄭雨盛, 李絮, 朴素英",https://hamivideo.hinet.net/product/137353.do?cs=2,3.9,112分鐘,tt3958014,NoRating,12%,5.9,5.9,NoRating,
喵的奇幻漂流,FLOW,動畫,歐洲,2025,金茲斯巴洛迪斯,,https://hamivideo.hinet.net/product/298305.do?cs=2,4.6,85分鐘,tt4772188,97%,NoRating,8.5,7.8,87/100,
失樂園,Lost Paradise,愛情,日本,1997,森田芳光,"役所廣司, 黑木瞳, 木村佳乃, 寺尾聰",https://hamivideo.hinet.net/product/52622.do?cs=2,4.2,119分鐘,tt38771856,NoRating,NoRating,NoRating,7.3,NoRating,
名偵探柯南(2006)-偵探們的鎮魂歌 (國語),Detective Conan: The Private Eyes Requiem,動畫,日本,2006,山本泰一郎,"蔣篤慧, 魏晶琦, 官志宏, 劉傑, 陶敏嫻, 徐健春",https://hamivideo.hinet.net/product/30416.do?cs=2,4.6,111分鐘,tt0498536,NoRating,NoRating,8.0,7.1,NoRating,
名偵探柯南(2002)-貝克街的亡靈 (國語),Detective Conan: The Phantom of Baker Street,動畫,日本,2002,兒玉兼嗣,"丘梅君, 賀世芳, 劉傑, 袁光麟, 陳鈴燕, 康殿宏, 陳宗岳, 李景唐, 許雲雲",https://hamivideo.hinet.net/product/30412.do?cs=2,4.7,107分鐘,tt0990372,NoRating,90%,8.8,7.8,NoRating,
失速機劫,Flight Risk,動作,美加,2025,梅爾吉勃遜,"馬克華伯格, 蜜雪兒道克瑞, 陶佛葛瑞斯, 保羅班維特",https://hamivideo.hinet.net/product/299297.do?cs=2,3.2,91分鐘,tt10078772,28%,62%,5.2,5.2,38/100,
天眼救援,Land of Bad,動作,美加,2024,威廉尤班克,"羅素克洛, 麥洛文提米吉拉, 連恩漢斯沃, 路克漢斯沃",https://hamivideo.hinet.net/product/259361.do?cs=2,4.4,113分鐘,tt19864802,66%,93%,6.8,6.6,57/100,
大畫特務2,Hitman 2,喜劇,韓國,2025,崔元燮,"權相佑, 鄭俊鎬, 李伊庚, 黃雨瑟惠, 金盛吳, 李智元",https://hamivideo.hinet.net/product/293346.do?cs=2,4.3,118分鐘,tt30788876,NoRating,NoRating,5.5,5.5,NoRating,
鑽石大劫案：極盜戰,Den of Thieves 2: Pantera,動作,美加,2025,克里斯汀固德佳斯,"傑瑞德巴特勒, 小歐西亞傑克森, 艾文艾哈邁德, 薩爾瓦托雷埃斯波西托, 梅多威廉士, 史文提米爾, 麥可比斯平, 歐利蘇卡, 里科費爾胡芬",https://hamivideo.hinet.net/product/288814.do?cs=2,4.0,130分鐘,tt8008948,63%,79%,5.7,6.3,60/100,
名偵探柯南 緋色的彈丸(國語),Detective Conan the Movie: The Scarlet Bullet,動畫,日本,2021,永岡智佳,"高山南, 山崎和佳奈, 小山力也",https://hamivideo.hinet.net/product/172115.do?cs=2,4.6,110分鐘,tt12093860,NoRating,38%,5.5,6.2,NoRating,
我家的事,Family Matters,劇情,台灣,2025,潘客印,"曾敬驊, 高伊玲, 藍葦華, 黃珮琪, 姚淳耀, 嚴藝文, 鄭有傑",https://hamivideo.hinet.net/product/324750.do?cs=2,4.5,98分鐘,tt35834522,NoRating,92%,7.1,7.0,NoRating,
麥可傑克森未來的未來演唱會電影,MICHAEL JACKSON’S THIS IS IT,紀錄片,美加,2009,肯尼歐塔葛,麥可傑克森,https://hamivideo.hinet.net/product/323273.do?cs=2,4.7,111分鐘,tt1477715,81%,82%,8.8,7.2,67/100,
蘿莉塔：情陷謬思,Eungyo,劇情,韓國,2012,,,https://hamivideo.hinet.net/product/170634.do?cs=2,4.4,129分鐘,tt2390253,NoRating,71%,6.7,6.6,NoRating,
名偵探柯南：紺青之拳(國語),DETECTIVE CONAN The Fist of Blue Sapphire,動畫,日本,2019,永岡智佳,"高山南, 小山力也, 山口勝平",https://hamivideo.hinet.net/product/94959.do?cs=2,4.4,109分鐘,tt9501310,NoRating,NoRating,5.7,6.3,NoRating,
名偵探柯南(2011)-沈默的15分鐘 (國語),Detective Conan: Quarter of Silence,動畫,日本,2011,山本泰一郎,"劉傑, 蔣篤慧, 曹冀魯, 魏晶琦, 徐健春, 陳幼文, 傅其慧",https://hamivideo.hinet.net/product/30559.do?cs=2,4.7,109分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
女孩,GIRL,劇情,台灣,2025,舒淇,"邱澤, 9m88, 白小櫻, 林品彤, 賴雨霏, 劉品言, 曾珮瑜",https://hamivideo.hinet.net/product/316728.do?cs=2,3.7,123分鐘,tt36304379,44%,49%,NoRating,5.4,NoRating,
之前的我們,Past Lives,劇情,美加,2023,席琳宋,"葛麗塔李, 劉台午, 約翰馬加羅, 文勝雅",https://hamivideo.hinet.net/product/241235.do?cs=2,4.3,105分鐘,tt13238346,95%,93%,7.7,7.8,94/100,
名偵探柯南(2014)-異次元的狙擊手 (國語),Detective Conan: Dimensional Sniper,動畫,日本,2014,靜野孔文,"劉傑, 蔣篤慧, 曹冀魯, 魏晶琦, 徐健春, 陳幼文, 傅其慧",https://hamivideo.hinet.net/product/30562.do?cs=2,4.7,110分鐘,tt3455204,NoRating,NoRating,6.9,6.7,NoRating,
感官世界(數位修復),In The Realm Of The Senses,劇情,日本,1976,大島渚,"藤龍也, 松田英子, 中島葵, 芹明香",https://hamivideo.hinet.net/product/139833.do?cs=2,3.9,102分鐘,tt0074102,84%,64%,NoRating,6.6,NoRating,
之後的我們,Once We Were Us,愛情,韓國,2026,金到映,"具教煥, 文佳煐",https://hamivideo.hinet.net/product/320038.do?cs=2,4.4,114分鐘,tt37764737,NoRating,NoRating,7.3,7.0,NoRating,
電影哆啦A夢：大雄的月球探測記(國語版),Doraemon the Movie: Nobita’s Chronicle of the Moon Exploration(Mandarin),動畫,日本,2019,八鍬新之介,"陳美貞, 楊凱凱, 許淑嬪, 于正昌, 劉鵬傑, 王貞令, 李昀晴, 孫誠, 王辰驊, 歐祖豪, 胡鎮璽",https://hamivideo.hinet.net/product/94657.do?cs=2,4.5,110分鐘,tt9735672,NoRating,69%,7.2,6.9,NoRating,
你的名字。,Your Name.,動畫,日本,2016,新海誠,"神木隆之介, 上白石萌音, 長澤雅美, 市原悅子, 成田凌, 悠木碧, 島崎信長, 石川界人, 谷花音",https://hamivideo.hinet.net/product/279965.do?cs=2,4.9,106分鐘,tt5311514,95%,86%,8.5,8.4,81/100,
情慾告白,Passion Simple,愛情,法國,2022,丹妮爾阿比德,"莉蒂西亞杜希, 瑟基普魯尼",https://hamivideo.hinet.net/product/181675.do?cs=2,3.3,98分鐘,tt10023172,59%,43%,5.7,5.4,57/100,
8號出口,Exit 8,驚悚,日本,2025,川村元氣,"二宮和也, 河內大和, 小松菜奈",https://hamivideo.hinet.net/product/319213.do?cs=2,3.8,94分鐘,tt35222590,NoRating,NoRating,6.3,6.5,69/100,
野風溼身的女人,Wet Woman in the Wind,劇情,日本,2017,鹽田明彥,"永岡佑, 間宮夕貴",https://hamivideo.hinet.net/product/200265.do?cs=2,4.0,77分鐘,,83%,39%,NoRating,NoRating,NoRating,
搜查瑠公圳,WHERE THE RIVER FLOWS,劇情,台灣,2025,賴俊羽,"朱軒洋, 吳卓源, 張世, 姚淳耀, 朱栢康, 李雪, 梁修身",https://hamivideo.hinet.net/product/320754.do?cs=2,3.7,109分鐘,tt35932291,100%,75%,6.0,6.0,NoRating,
爆復,Retribution,動作,美加,2023,莫洛德安塔爾,"連恩尼遜, 傑克查恩, 安貝絲戴維茲, 馬修莫汀",https://hamivideo.hinet.net/product/243416.do?cs=2,3.7,90分鐘,tt6906292,30%,67%,5.5,5.4,43/100,
與神同行：最終審判,Along with the Gods: The Last 49 Days,劇情,韓國,2018,金容華,"河正宇, 金東旭, 朱智勛, 馬東石, 都敬秀, 金香起",https://hamivideo.hinet.net/product/72238.do?cs=2,4.6,141分鐘,tt8116428,44%,78%,7.6,7.1,NoRating,
劇場版 咒術迴戰 0,Jujutsu Kaisen 0: The Movie,動畫,日本,2022,朴性厚,"緒方惠美, 小松未可子, 內山昂輝, 關智一",https://hamivideo.hinet.net/product/201429.do?cs=2,4.8,104分鐘,tt14331144,96%,98%,8.3,7.8,71/100,
潛行(粵語),I Did It My Way(Cantonese),動作,香港,2024,關智耀,"劉德華, 林家棟, 彭于晏, 劉雅瑟, 任達華, 鄭則士, 姜皓文, 劉俊謙",https://hamivideo.hinet.net/product/261594.do?cs=2,3.5,114分鐘,tt31523052,20%,35%,5.4,6.0,NoRating,
小王子經典10週年 重返大銀幕,Le Petit Prince,動畫,法國,2025,馬克奧斯朋,"瑞秋麥亞當斯, 保羅路德, 瑪莉詠柯蒂亞, 傑夫布里吉, 瑪康莉佛伊",https://hamivideo.hinet.net/product/296508.do?cs=2,4.7,106分鐘,tt0378558,92%,84%,7.1,7.0,NoRating,
我最愛的笨男人,Love Fool,喜劇,台灣,2023,張喻閔,"范逸臣, 姚淳耀, 郭泓志, 劉奕兒",https://hamivideo.hinet.net/product/247846.do?cs=2,3.7,103分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
潛行(國語),I Did It My Way(Mandarin),動作,香港,2024,關智耀,"劉德華, 林家棟, 彭于晏, 劉雅瑟, 任達華, 鄭則士, 姜皓文, 劉俊謙",https://hamivideo.hinet.net/product/261593.do?cs=2,3.9,114分鐘,tt31523052,20%,35%,5.4,6.0,NoRating,
神鬼海底撈,Smugglers,動作,韓國,2023,柳昇完,"金憓秀, 廉晶雅, 趙寅成, 朴正民, 金鍾洙, 高旻示",https://hamivideo.hinet.net/product/240943.do?cs=2,4.3,129分鐘,tt28106766,88%,NoRating,6.7,6.2,NoRating,
飢俄人妻,Fidelity,劇情,歐洲,2020,妮姬娜賽福拉耶法,"葉夫根尼婭格羅莫娃, 亞歷山大派里, 麥特維諾維柯",https://hamivideo.hinet.net/product/134082.do?cs=2,3.7,81分鐘,tt10516086,91%,90%,6.4,5.7,NoRating,
電影哆啦A夢：大雄的新恐龍(國語),Doraemon The Movie: Nobita’s New Dinosaur(Mandarin),動畫,日本,2020,今井一曉,"水田山葵, 大原惠, 嘉數由美, 木村昴, 關智一, 三石琴乃, 木村拓哉, 渡邊直美, 釘宮理惠",https://hamivideo.hinet.net/product/140399.do?cs=2,4.5,109分鐘,tt10588750,NoRating,78%,7.1,7.1,NoRating,
我的婆婆怎麼把OO搞丟了(闔家歡樂版),U Motherbaker – The Movie,喜劇,台灣,2023,鄧安寧,"鍾欣凌, 黃姵嘉, 許傑輝, 張書偉, 邱凱偉, 炎亞綸",https://hamivideo.hinet.net/product/222272.do?cs=2,3.9,112分鐘,tt24354288,NoRating,NoRating,5.6,4.9,NoRating,
成功補習班,After School,劇情,台灣,2023,藍正龍,"侯彥西, 巫建和, 邱以太, 詹懷雲, 林奕嵐",https://hamivideo.hinet.net/product/249149.do?cs=2,4.0,118分鐘,tt27671363,NoRating,NoRating,6.4,6.6,NoRating,
附身,Dr. Cheon and the Lost Talisman,驚悚,韓國,1960,金成植,"姜棟元, 許峻豪, 李絮, 李東輝, 金鍾洙, 朴昭怡, 朴正民, 金智秀",https://hamivideo.hinet.net/product/246875.do?cs=2,4.3,98分鐘,tt29005755,70%,76%,5.8,5.9,NoRating,
鬼媽媽的假期,Our Season,劇情,韓國,2024,陸相孝,"金海淑, 申敏兒, 姜基榮, 黃寶羅, 朴明勳",https://hamivideo.hinet.net/product/254243.do?cs=2,4.6,105分鐘,tt12664652,NoRating,NoRating,7.8,6.9,NoRating,
長腿,Longlegs,驚悚,美加,2024,奧斯古德柏金斯,"尼可拉斯凱吉, 瑪嘉夢露, 艾莉西亞維特",https://hamivideo.hinet.net/product/273811.do?cs=2,3.1,100分鐘,tt23468450,85%,61%,5.5,6.5,77/100,
排球少年!! 垃圾場的決戰(日語版),Haikyu!! The Movie: Decisive Battle at the Garbage Dump,動畫,日本,2024,滿仲勸,"村瀨步, 石川界人, 梶裕貴, 中村悠一",https://hamivideo.hinet.net/product/291193.do?cs=2,4.8,84分鐘,tt30476486,76%,NoRating,8.2,7.8,67/100,
國有器官,STATE ORGANS,紀錄片,美加,2024,章勇進,章勇進,https://hamivideo.hinet.net/product/293835.do?cs=2,4.5,72分鐘,tt33395194,NoRating,35%,NoRating,5.7,NoRating,
名偵探柯南(2009)-漆黑的追跡者 (國語),Detective Conan: The Raven Chaser,動畫,日本,2009,山本泰一郎,"蔣篤慧, 魏晶琦, 官志宏, 劉傑, 陶敏嫻, 徐健春",https://hamivideo.hinet.net/product/30557.do?cs=2,4.6,111分鐘,tt1343046,NoRating,NoRating,7.6,7.2,NoRating,
晚孃,Jan Dara,劇情,泰國,2001,朗斯尼美畢達,"鍾麗緹, 舒偉烈",https://hamivideo.hinet.net/product/133586.do?cs=2,4.0,113分鐘,tt0282628,NoRating,34%,NoRating,6.0,NoRating,
私家偵探,Behind the Shadows,動作,香港,2025,"李子俊, 周汶儒","古天樂, 周秀娜, 劉冠廷, 黃浩然, 楊偲泳, 張兆輝, 黃詩棋, 陳培永, 蔡祥宇, 關德輝",https://hamivideo.hinet.net/product/309272.do?cs=2,3.7,102分鐘,tt33836212,NoRating,NoRating,4.8,5.8,NoRating,
超危險警探,Sleeping Dogs,驚悚,其他,2024,亞當庫柏,"羅素克洛, 凱倫吉蘭, 馬頓索柯西",https://hamivideo.hinet.net/product/262615.do?cs=2,3.7,111分鐘,tt8542964,44%,80%,6.0,6.2,45/100,
懼裂,The Substance,驚悚,英國,2019,柯洛里法吉特,"黛咪摩爾, 瑪格麗特庫利, 丹尼斯奎德, 羅賓葛爾, 雨果迪亞哥賈西亞, 克里斯汀艾瑞克森",https://hamivideo.hinet.net/product/299510.do?cs=2,4.5,141分鐘,tt17526714,89%,76%,7.5,7.2,78/100,
速命道,Red Line,動作,台灣,2023,柯有謙,"子E.SO, 柯有倫, 丁寧, 小春Kenzy, 大淵MUTA, 林真亦, 江治緯, 林志謙, 劉德華, 林嘉欣",https://hamivideo.hinet.net/product/237946.do?cs=2,3.2,98分鐘,tt27033991,80%,80%,4.6,4.2,NoRating,
STAND BY ME 哆啦A夢2,STAND BY ME Doraemon 2,動畫,日本,2021,"山崎貴, 八木龍一","水田山葵, 大原惠, 嘉數由美, 木村昴, 關智一, 妻夫木聰",https://hamivideo.hinet.net/product/151348.do?cs=2,4.6,95分鐘,tt13428402,NoRating,89%,7.1,7.5,NoRating,
我和我的冠軍女兒,DANGAL,劇情,印度,2016,涅提帝瓦里,"阿米爾罕, 沙克希坦沃, 法蒂娜薩納謝赫",https://hamivideo.hinet.net/product/57864.do?cs=2,4.7,154分鐘,tt5074352,89%,93%,9.0,8.3,NoRating,
名偵探柯南(2002)-貝克街的亡靈 (日語),Detective Conan: The Phantom of Baker Street,動畫,日本,2002,兒玉兼嗣,柯南,https://hamivideo.hinet.net/product/30279.do?cs=2,4.8,107分鐘,tt0990372,NoRating,90%,8.8,7.8,NoRating,
巨齒鯊2：海溝深淵,MEG 2: THE TRENCH,動作,美加,2023,班懷特利,"傑森史塔森, 吳京, 蔡書雅",https://hamivideo.hinet.net/product/313562.do?cs=2,3.6,115分鐘,tt9224104,27%,72%,5.0,5.0,40/100,
獵狐行動,Fox Hunt,動作,中國,2025,張立嘉,"梁朝偉, 段奕宏, 夏侯雲姍, 張傲月, 奧利維拉布爾丹, 歐嘉柯瑞蘭蔻, 荷西賈西亞",https://hamivideo.hinet.net/product/297874.do?cs=2,3.3,105分鐘,tt10712788,NoRating,NoRating,4.4,4.4,NoRating,
外星+人2：回到未來,Alienoid: Return to the Future,動作,韓國,2024,崔東勳,"柳俊烈, 金泰梨, 金宇彬, 李荷妮, 廉晶雅, 趙祐鎮, 金義城, 陳善圭, 辛正根, 尹敬浩, 李是勳",https://hamivideo.hinet.net/product/256366.do?cs=2,4.4,122分鐘,tt20201212,69%,78%,6.6,6.5,NoRating,
孤島診療所2022,Dr. Coto’s Clinic 2022,劇情,日本,2024,中江功,"吉岡秀隆, 柴崎幸, 時任三郎, 大塚寧寧, 高橋海人, 生田繪梨花, 蒼井優, 神木隆之介, 堺雅人",https://hamivideo.hinet.net/product/266527.do?cs=2,4.1,134分鐘,tt24067424,NoRating,NoRating,6.7,6.1,NoRating,
你的婚禮,My Love,愛情,中國,2021,韓天,"許光漢, 章若楠, 丁冠森, 晏紫東",https://hamivideo.hinet.net/product/156556.do?cs=2,4.4,114分鐘,tt14503918,75%,46%,4.7,6.4,NoRating,
鈴芽之旅(國語),Suzume,動畫,日本,2023,新海誠,"原菜乃華, 松村北斗, 深津繪里, 染谷將太, 伊藤沙莉, 花澤香菜",https://hamivideo.hinet.net/product/246151.do?cs=2,4.5,121分鐘,tt16428256,96%,98%,7.2,7.6,77/100,
名偵探柯南(2000)-瞳孔中的暗殺者 (國語),Detective Conan: Captured In Her Eyes,動畫,日本,2000,兒玉兼嗣,"蔣篤慧, 魏晶琦, 官志宏, 劉傑, 陶敏嫻, 徐健春",https://hamivideo.hinet.net/product/30410.do?cs=2,4.6,99分鐘,tt1068773,NoRating,NoRating,8.5,7.5,NoRating,
黑白線人,Yadang：The Snitch,動作,韓國,2025,黃秉國,"姜河那, 柳海真, 朴海俊, 柳炅秀, 蔡元彬",https://hamivideo.hinet.net/product/308462.do?cs=2,4.6,122分鐘,tt35851026,87%,NoRating,6.7,6.5,NoRating,
莎莉,Salli,愛情,台灣,2024,練建宏,"劉品言, 林柏宏, 李英宏",https://hamivideo.hinet.net/product/301225.do?cs=2,3.8,104分鐘,tt20916374,NoRating,NoRating,6.6,6.6,NoRating,
名偵探柯南(2003)-迷宮的十字路 (日語),Detective Conan: Crossroad in the Ancient Capital,動畫,日本,2003,兒玉兼嗣,柯南,https://hamivideo.hinet.net/product/30280.do?cs=2,4.8,107分鐘,tt1133935,15%,40%,8.5,7.1,NoRating,
小曉,Trouble Girl,劇情,台灣,2023,靳家驊,"林品彤, 陳意涵, 劉俊謙",https://hamivideo.hinet.net/product/259823.do?cs=2,3.9,103分鐘,tt29566160,NoRating,NoRating,6.8,6.4,NoRating,
限時營救,Lioness,動作,英國,2025,詹姆斯努恩,"凱特貝琴薩, 艾麗絲克里奇, 路易斯譚",https://hamivideo.hinet.net/product/316749.do?cs=2,2.8,99分鐘,tt36153493,NoRating,NoRating,4.5,3.9,NoRating,
電影版 99.9 不可能的翻案,99.9 Criminal Lawyer The Movie,劇情,日本,2022,木村尚,"松本潤, 香川照之, 杉咲花, 片桐仁, 西島秀俊, 道枝駿佑, 榮倉奈奈, 木村文乃",https://hamivideo.hinet.net/product/196410.do?cs=2,4.7,120分鐘,tt15434284,NoRating,NoRating,6.9,6.1,NoRating,
名偵探柯南(2008)-戰慄的樂譜 (國語),Detective Conan: Full Score of Fear,動畫,日本,2008,山本泰一郎,"蔣篤慧, 魏晶琦, 官志宏, 劉傑, 陶敏嫻, 徐健春, 陳幼文",https://hamivideo.hinet.net/product/30556.do?cs=2,4.5,115分鐘,tt1155696,NoRating,NoRating,7.4,6.7,NoRating,
長安的荔枝,The Lychee Road,喜劇,中國,2025,大鵬,"大鵬, 白客, 莊達菲, 劉俊謙, 劉德華, 楊冪, 常遠, 魏翔, 王迅, 孫陽, 林雪, 宋小寶, 付航, 張若昀",https://hamivideo.hinet.net/product/315055.do?cs=2,4.3,122分鐘,tt34388866,NoRating,94%,7.5,6.8,NoRating,
喬王出任務,Lobby,喜劇,韓國,2025,河正宇,"河正宇, 金義城, 姜海林, 李東輝, 朴丙垠, 姜末今, 崔始源, 車珠英, 朴海秀, 郭善英",https://hamivideo.hinet.net/product/298699.do?cs=2,3.4,105分鐘,tt35421721,NoRating,NoRating,5.1,5.6,NoRating,
名偵探柯南(2004)-銀翼的奇術師 (國語),Detective Conan: Magician of the Silver Sky,動畫,日本,2004,山本泰一郎,"蔣篤慧, 魏晶琦, 官志宏, 劉傑, 陶敏嫻, 徐健春",https://hamivideo.hinet.net/product/30414.do?cs=2,4.6,108分鐘,tt1133559,NoRating,NoRating,8.1,7.0,NoRating,
名偵探柯南：唐紅的戀歌(日語),Detective Conan: The Crimson Love Letter,動畫,日本,2017,靜野孔文,"高山南(名偵探柯南), 堀川亮(服部平次), 宮村優子(遠山和葉)",https://hamivideo.hinet.net/product/53926.do?cs=2,4.7,112分鐘,tt5692622,NoRating,NoRating,7.0,6.5,NoRating,
我的婆婆怎麼把OO搞丟了(院線版),U Motherbaker – The Movie,喜劇,台灣,2023,鄧安寧,"鍾欣凌, 黃姵嘉, 許傑輝, 張書偉, 邱凱偉, 炎亞綸",https://hamivideo.hinet.net/product/222273.do?cs=2,3.8,113分鐘,tt24354288,NoRating,NoRating,5.6,4.9,NoRating,
