電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
極凍之城,Atomic Blonde,動作,美加,2017,大衛雷奇,"莎莉賽隆, 詹姆斯麥艾維, 約翰古德曼",https://hamivideo.hinet.net/product/276712.do?cs=2,4.6,114分鐘,tt2406566,79%,64%,7.2,6.7,63/100,
人生真美麗,Life is Beautiful,劇情,韓國,2022,崔國熙,"柳承龍, 廉晶雅, 邕聖祐, 朴世阮",https://hamivideo.hinet.net/product/209451.do?cs=2,4.4,122分鐘,tt13236270,NoRating,NoRating,6.4,6.5,NoRating,
太極旗：生死兄弟,Taegukgi: The Brotherhood of War,劇情,韓國,2004,姜帝圭,"張東健, 元斌, 李恩宙, 孔炯軫",https://hamivideo.hinet.net/product/199171.do?cs=2,4.7,147分鐘,tt0386064,79%,92%,8.3,8.0,64/100,
誅仙,Jade Dynasty,愛情,中國,2019,程小東,"肖戰, 李沁, 孟美岐, 唐藝昕, 陳孝萱",https://hamivideo.hinet.net/product/119638.do?cs=2,4.0,99分鐘,tt9680630,NoRating,11%,4.5,5.9,NoRating,
藍色恐懼(數位修復版),PERFECT BLUE,動畫,日本,1997,今敏,"岩男潤子, 松本梨香, 辻親八",https://hamivideo.hinet.net/product/289818.do?cs=2,4.6,81分鐘,tt0156887,85%,89%,9.1,8.0,67/100,
漫漫回家路,Lion,劇情,美加,2017,葛斯戴維斯,"桑尼帕瓦, 戴夫帕托, 妮可基嫚, 魯妮瑪拉",https://hamivideo.hinet.net/product/46209.do?cs=2,4.5,119分鐘,tt3741834,84%,88%,7.3,8.0,69/100,
海雲臺,Haeundae,劇情,韓國,2009,尹濟均,"薛耿求, 河智苑, 朴重勳, 嚴正化, 李民基, 強藝元, 金吝勸",https://hamivideo.hinet.net/product/174143.do?cs=2,3.7,106分鐘,tt1153040,NoRating,48%,6.4,5.5,NoRating,
AIR,AIR,劇情,美加,2023,班艾佛列克,"麥特戴蒙, 傑森貝特曼, 班艾佛列克",https://hamivideo.hinet.net/product/311157.do?cs=2,4.5,111分鐘,tt32370862,93%,97%,NoRating,5.4,NoRating,
羔羊遊戲,Lamb Game,動作,中國,2023,黃羿,"熊黛林, 鄭浩南, 陳保元, 彭迪安, 趙靖舒玉",https://hamivideo.hinet.net/product/251188.do?cs=2,3.9,88分鐘,,NoRating,NoRating,3.7,NoRating,NoRating,
鯊人魔,Dangerous Animals,驚悚,其他,2025,西恩拜恩,"傑寇特尼, 哈西哈里森, 喬許休斯頓",https://hamivideo.hinet.net/product/312257.do?cs=2,4.1,98分鐘,tt32299316,87%,74%,6.2,6.4,65/100,
嚦咕嚦咕新年財,Fat Choi Spirit,喜劇,香港,2002,"杜琪峯, 韋家輝","劉德華, 劉青雲, 古天樂, 梁詠琪, 應采兒",https://hamivideo.hinet.net/product/282797.do?cs=2,4.7,97分鐘,tt0307034,NoRating,66%,6.8,6.8,NoRating,
電影哆啦A夢：大雄與惑星之迷,Doraemon the Movie:Nobita and the Animal Planet,動畫,日本,1990,芝山努,"大山羨代, 小原乃梨子, 野村道子, 立壁和也, 肝付兼太",https://hamivideo.hinet.net/product/286706.do?cs=2,4.5,99分鐘,,NoRating,NoRating,NoRating,NoRating,NoRating,
人生路不熟,Godspeed,喜劇,中國,2023,易小星,"喬杉, 范丞丞, 馬麗, 張婧儀, 常遠, 田雨, 張熙然, 張磊, 尹正",https://hamivideo.hinet.net/product/264565.do?cs=2,3.7,99分鐘,tt26935962,50%,20%,5.8,5.4,NoRating,
保鏢,The Bodyguard,動作,中國,2024,秦鵬飛,"屈菁菁, 袁福福, 劉峰超, 釋小龍, 楊杏, 譚凱, 楊斯, 蔣璐霞",https://hamivideo.hinet.net/product/303848.do?cs=2,3.4,87分鐘,tt34336331,38%,64%,4.8,6.5,NoRating,
全力揮擊,The Long Game,劇情,美加,2024,胡利奧金塔納,"傑赫南德茲, 丹尼斯奎德, 區奇馬林",https://hamivideo.hinet.net/product/283145.do?cs=2,4.2,112分鐘,tt7738330,82%,97%,NoRating,6.7,65/100,
魔鬼戰將,UNDER SIEGE,動作,美加,1992,安德魯戴維斯,"史蒂芬席格, 湯米李瓊斯, 蓋瑞布希",https://hamivideo.hinet.net/product/298608.do?cs=2,4.6,102分鐘,tt0105690,83%,NoRating,7.1,6.5,58/100,
新兵正傳4,Ah Boys to Men 4,喜劇,東南亞,2017,梁智強,"張智揚, 王偉良, 陳偉恩, 林俊良, 葉榮耀, 賴宇涵, 吳清樑",https://hamivideo.hinet.net/product/61134.do?cs=2,4.2,125分鐘,tt7469978,NoRating,NoRating,6.7,5.5,NoRating,
取精急轉彎,Spermageddon,動畫,歐洲,2025,"雷斯穆斯A.席維特森, 湯米維爾柯拉","克里斯蒂安弗雷德里克米克爾森, 娜絲琳庫斯拉維, 雅斯肯尼, 瑪蒂爾達杜多明史托姆",https://hamivideo.hinet.net/product/308628.do?cs=2,3.3,79分鐘,tt14828040,90%,49%,5.8,5.4,NoRating,
